Source,Target,Weight
MTBLS1,MTBLS1824,0.21052631578947367
MTBLS1,MTBLS836,0.22727272727272727
MTBLS10,MTBLS3676,0.3333333333333333
MTBLS100,MTBLS471,0.25
MTBLS1014,MTBLS156,0.4166666666666667
MTBLS1024,MTBLS1746,0.23809523809523808
MTBLS1024,MTBLS2096,0.25
MTBLS1024,MTBLS366,0.21428571428571427
MTBLS1024,MTBLS79,0.21428571428571427
MTBLS103,MTBLS351,0.21428571428571427
MTBLS1039,MTBLS152,0.21428571428571427
MTBLS1039,MTBLS209,0.23076923076923078
MTBLS1039,MTBLS210,0.25
MTBLS1039,MTBLS256,0.23076923076923078
MTBLS1039,MTBLS27,0.21428571428571427
MTBLS1039,MTBLS273,0.25
MTBLS1039,MTBLS385,0.21428571428571427
MTBLS1039,MTBLS3860,0.21052631578947367
MTBLS1039,MTBLS484,0.2727272727272727
MTBLS1039,MTBLS6,0.23076923076923078
MTBLS1039,MTBLS613,0.21052631578947367
MTBLS1039,MTBLS643,0.21428571428571427
MTBLS1039,MTBLS79,0.25
MTBLS1039,MTBLS811,0.21428571428571427
MTBLS104,MTBLS183,0.21052631578947367
MTBLS104,MTBLS367,0.21428571428571427
MTBLS104,MTBLS387,0.21052631578947367
MTBLS104,MTBLS812,0.23529411764705882
MTBLS1040,MTBLS1108,0.25
MTBLS1040,MTBLS1388,0.21052631578947367
MTBLS1040,MTBLS1430,0.21428571428571427
MTBLS1040,MTBLS160,0.21428571428571427
MTBLS1040,MTBLS178,0.23076923076923078
MTBLS1040,MTBLS1794,0.25
MTBLS1040,MTBLS1963,0.21052631578947367
MTBLS1040,MTBLS3565,0.23076923076923078
MTBLS1040,MTBLS39,0.23076923076923078
MTBLS1040,MTBLS613,0.21052631578947367
MTBLS1040,MTBLS6933,0.21052631578947367
MTBLS1040,MTBLS787,0.4375
MTBLS1040,MTBLS816,0.35714285714285715
MTBLS1044,MTBLS1191,0.2727272727272727
MTBLS1044,MTBLS1455,0.25
MTBLS1044,MTBLS178,0.2222222222222222
MTBLS1044,MTBLS1987,0.21428571428571427
MTBLS1044,MTBLS228,0.2857142857142857
MTBLS1044,MTBLS229,0.3
MTBLS1044,MTBLS39,0.2222222222222222
MTBLS1044,MTBLS4223,0.25
MTBLS1044,MTBLS4590,0.23076923076923078
MTBLS1044,MTBLS479,0.2857142857142857
MTBLS1044,MTBLS544,0.2222222222222222
MTBLS1044,MTBLS688,0.2222222222222222
MTBLS1044,MTBLS73,0.25
MTBLS1044,MTBLS86,0.2222222222222222
MTBLS1045,MTBLS1320,0.21428571428571427
MTBLS1045,MTBLS720,0.3235294117647059
MTBLS105,MTBLS17,0.21739130434782608
MTBLS1051,MTBLS478,0.20454545454545456
MTBLS106,MTBLS1080,0.2222222222222222
MTBLS106,MTBLS121,0.5384615384615384
MTBLS106,MTBLS1267,0.21052631578947367
MTBLS106,MTBLS1301,0.3076923076923077
MTBLS106,MTBLS135,0.38461538461538464
MTBLS106,MTBLS138,0.5384615384615384
MTBLS106,MTBLS1388,0.3333333333333333
MTBLS106,MTBLS1430,0.2727272727272727
MTBLS106,MTBLS145,0.7
MTBLS106,MTBLS158,0.4666666666666667
MTBLS106,MTBLS159,0.5
MTBLS106,MTBLS160,0.2727272727272727
MTBLS106,MTBLS1708,0.25
MTBLS106,MTBLS1714,0.23076923076923078
MTBLS106,MTBLS180,0.7777777777777778
MTBLS106,MTBLS181,0.4375
MTBLS106,MTBLS186,0.6363636363636364
MTBLS106,MTBLS188,0.2222222222222222
MTBLS106,MTBLS201,0.375
MTBLS106,MTBLS204,0.28
MTBLS106,MTBLS205,0.25
MTBLS106,MTBLS221,0.21212121212121213
MTBLS106,MTBLS2215,0.5
MTBLS106,MTBLS228,0.2222222222222222
MTBLS106,MTBLS2394,0.3181818181818182
MTBLS106,MTBLS2406,0.25
MTBLS106,MTBLS278,0.21428571428571427
MTBLS106,MTBLS2790,0.21052631578947367
MTBLS106,MTBLS2806,0.2222222222222222
MTBLS106,MTBLS284,0.7777777777777778
MTBLS106,MTBLS301,0.23076923076923078
MTBLS106,MTBLS3038,0.25
MTBLS106,MTBLS318,0.3888888888888889
MTBLS106,MTBLS3318,0.30434782608695654
MTBLS106,MTBLS3320,0.7777777777777778
MTBLS106,MTBLS3657,0.21428571428571427
MTBLS106,MTBLS3786,0.4666666666666667
MTBLS106,MTBLS39,0.3
MTBLS106,MTBLS3950,0.25
MTBLS106,MTBLS406,0.2413793103448276
MTBLS106,MTBLS407,0.7
MTBLS106,MTBLS415,0.2222222222222222
MTBLS106,MTBLS440,0.3181818181818182
MTBLS106,MTBLS442,0.35
MTBLS106,MTBLS467,0.5
MTBLS106,MTBLS479,0.2222222222222222
MTBLS106,MTBLS484,0.2222222222222222
MTBLS106,MTBLS4861,0.2222222222222222
MTBLS106,MTBLS5195,0.23076923076923078
MTBLS106,MTBLS520,0.3333333333333333
MTBLS106,MTBLS5272,0.21428571428571427
MTBLS106,MTBLS528,0.21428571428571427
MTBLS106,MTBLS533,0.3684210526315789
MTBLS106,MTBLS5462,0.4375
MTBLS106,MTBLS547,0.21428571428571427
MTBLS106,MTBLS548,0.21428571428571427
MTBLS106,MTBLS5543,0.3888888888888889
MTBLS106,MTBLS638,0.23076923076923078
MTBLS106,MTBLS6516,0.23076923076923078
MTBLS106,MTBLS679,0.26666666666666666
MTBLS106,MTBLS686,0.6363636363636364
MTBLS106,MTBLS697,0.3333333333333333
MTBLS106,MTBLS702,0.4117647058823529
MTBLS106,MTBLS730,0.4666666666666667
MTBLS106,MTBLS795,0.3684210526315789
MTBLS106,MTBLS833,0.5833333333333334
MTBLS106,MTBLS834,0.4117647058823529
MTBLS107,MTBLS108,1.0
MTBLS107,MTBLS109,1.0
MTBLS107,MTBLS110,1.0
MTBLS107,MTBLS111,1.0
MTBLS1073,MTBLS210,0.22727272727272727
MTBLS1073,MTBLS213,0.21739130434782608
MTBLS1073,MTBLS483,0.25
MTBLS1073,MTBLS6076,0.23529411764705882
MTBLS1079,MTBLS2630,0.7021276595744681
MTBLS108,MTBLS109,1.0
MTBLS108,MTBLS110,1.0
MTBLS108,MTBLS111,1.0
MTBLS1080,MTBLS135,0.2631578947368421
MTBLS1080,MTBLS145,0.21052631578947367
MTBLS1080,MTBLS158,0.21739130434782608
MTBLS1080,MTBLS159,0.2857142857142857
MTBLS1080,MTBLS180,0.2222222222222222
MTBLS1080,MTBLS2406,0.23529411764705882
MTBLS1080,MTBLS284,0.2222222222222222
MTBLS1080,MTBLS316,0.21739130434782608
MTBLS1080,MTBLS3320,0.2222222222222222
MTBLS1080,MTBLS407,0.21052631578947367
MTBLS1080,MTBLS440,0.20689655172413793
MTBLS1080,MTBLS547,0.21052631578947367
MTBLS1080,MTBLS548,0.21052631578947367
MTBLS1080,MTBLS730,0.21739130434782608
MTBLS1080,MTBLS833,0.25
MTBLS1080,MTBLS867,0.20833333333333334
MTBLS109,MTBLS110,1.0
MTBLS109,MTBLS111,1.0
MTBLS1093,MTBLS120,0.23076923076923078
MTBLS1093,MTBLS218,0.21428571428571427
MTBLS1093,MTBLS301,0.21428571428571427
MTBLS1093,MTBLS43,0.2222222222222222
MTBLS1093,MTBLS44,0.2222222222222222
MTBLS1093,MTBLS467,0.2222222222222222
MTBLS1093,MTBLS54,0.2222222222222222
MTBLS1093,MTBLS6331,0.21739130434782608
MTBLS1093,MTBLS780,0.23076923076923078
MTBLS11,MTBLS12,1.0
MTBLS11,MTBLS13,1.0
MTBLS11,MTBLS169,0.5
MTBLS11,MTBLS7,1.0
MTBLS110,MTBLS111,1.0
MTBLS1103,MTBLS832,0.36
MTBLS1104,MTBLS2021,0.20833333333333334
MTBLS1104,MTBLS687,0.24
MTBLS1104,MTBLS866,0.24
MTBLS1108,MTBLS1692,0.25
MTBLS1108,MTBLS178,0.2857142857142857
MTBLS1108,MTBLS38,0.3333333333333333
MTBLS1108,MTBLS56,0.25
MTBLS1108,MTBLS752,0.25
MTBLS1108,MTBLS754,0.25
MTBLS1115,MTBLS1537,0.21052631578947367
MTBLS1115,MTBLS32,0.21428571428571427
MTBLS1115,MTBLS39,0.25
MTBLS1115,MTBLS686,0.25
MTBLS112,MTBLS2021,0.21052631578947367
MTBLS112,MTBLS2042,0.20689655172413793
MTBLS112,MTBLS484,0.21428571428571427
MTBLS112,MTBLS5778,0.25
MTBLS1122,MTBLS1124,1.0
MTBLS1122,MTBLS1129,0.9411764705882353
MTBLS1122,MTBLS1130,0.9411764705882353
MTBLS1124,MTBLS1129,0.9411764705882353
MTBLS1124,MTBLS1130,0.9411764705882353
MTBLS1127,MTBLS473,0.25
MTBLS1127,MTBLS855,0.5
MTBLS1129,MTBLS1130,1.0
MTBLS113,MTBLS259,0.3
MTBLS113,MTBLS615,0.25
MTBLS113,MTBLS677,0.23076923076923078
MTBLS1132,MTBLS39,0.2727272727272727
MTBLS1132,MTBLS738,0.3333333333333333
MTBLS114,MTBLS242,0.2857142857142857
MTBLS1140,MTBLS1191,0.23529411764705882
MTBLS1140,MTBLS1794,0.2222222222222222
MTBLS1140,MTBLS213,0.2777777777777778
MTBLS1140,MTBLS23,0.23529411764705882
MTBLS1140,MTBLS5877,0.47058823529411764
MTBLS1145,MTBLS832,0.25
MTBLS116,MTBLS185,0.5
MTBLS116,MTBLS2942,0.3333333333333333
MTBLS116,MTBLS404,0.25
MTBLS116,MTBLS433,0.25
MTBLS116,MTBLS756,0.25
MTBLS1167,MTBLS1390,0.23333333333333334
MTBLS1167,MTBLS882,0.20689655172413793
MTBLS117,MTBLS118,1.0
MTBLS117,MTBLS460,0.2857142857142857
MTBLS118,MTBLS460,0.2857142857142857
MTBLS1182,MTBLS1191,0.5
MTBLS1182,MTBLS1274,0.2222222222222222
MTBLS1182,MTBLS1411,0.3
MTBLS1182,MTBLS5744,0.2413793103448276
MTBLS1186,MTBLS1830,0.20833333333333334
MTBLS1186,MTBLS2021,0.20833333333333334
MTBLS1187,MTBLS5196,0.21518987341772153
MTBLS1188,MTBLS165,0.21052631578947367
MTBLS1188,MTBLS3251,0.2631578947368421
MTBLS1188,MTBLS858,0.21875
MTBLS1188,MTBLS882,0.23809523809523808
MTBLS119,MTBLS1430,0.2222222222222222
MTBLS119,MTBLS1463,0.25
MTBLS119,MTBLS152,0.2222222222222222
MTBLS119,MTBLS1579,0.23076923076923078
MTBLS119,MTBLS160,0.2222222222222222
MTBLS119,MTBLS178,0.25
MTBLS119,MTBLS180,0.3
MTBLS119,MTBLS188,0.3333333333333333
MTBLS119,MTBLS201,0.3333333333333333
MTBLS119,MTBLS209,0.25
MTBLS119,MTBLS256,0.25
MTBLS119,MTBLS273,0.2857142857142857
MTBLS119,MTBLS282,0.25
MTBLS119,MTBLS2871,0.2222222222222222
